# Coluna1	Coluna2	Coluna3
-0.03469	0.00112	0.05552
-0.03935	-0.00585	0.05805
-0.04546	-0.01160	0.05783
-0.05520	-0.01929	0.05936
-0.06339	-0.02667	0.06405
-0.06717	-0.03221	0.06785
-0.06980	-0.03775	0.06995
-0.07145	-0.04345	0.07508
-0.07278	-0.05056	0.07728
-0.07311	-0.05707	0.07679
-0.07373	-0.05863	0.07599
-0.07525	-0.05835	0.07555
-0.07747	-0.06216	0.07616
-0.07795	-0.06307	0.07502
-0.07894	-0.06451	0.07425
-0.07976	-0.06725	0.07476
-0.07980	-0.06745	0.07420
-0.08032	-0.06721	0.07248
-0.08097	-0.06729	0.07277
-0.08105	-0.06726	0.07319
-0.08050	-0.06788	0.07268
-0.08165	-0.07125	0.07125
-0.08774	-0.07094	0.06110
-0.09127	-0.07159	0.05301
-0.09100	-0.07166	0.04441
-0.09622	-0.07091	0.02833
-0.10535	-0.07145	0.01120
-0.10275	-0.06965	0.00306
-0.10487	-0.06738	-0.00181
-0.10849	-0.06469	-0.01283
-0.11219	-0.06720	-0.01913
-0.11760	-0.06710	-0.01755
-0.10646	-0.02866	-0.03507
-0.07231	0.01780	-0.02099
-0.02744	0.06420	-0.00189
0.03468	0.10954	0.00474
0.12290	0.14940	0.02005
0.20850	0.19653	0.02782
0.28018	0.22308	0.02713
0.36271	0.25051	0.00988
0.46845	0.30049	-0.01647
0.59570	0.37465	-0.04445
0.75357	0.47446	-0.08718
0.87278	0.57467	-0.14265
0.97962	0.66939	-0.20952
1.08750	0.76009	-0.25803
1.13930	0.81265	-0.27680
1.10415	0.75364	-0.31052
1.05326	0.59693	-0.25561
0.94789	0.44707	-0.17439
0.79163	0.33713	-0.09161
0.63625	0.21715	0.04995
0.44037	0.09672	0.18702
0.26853	0.01263	0.26771
0.16611	-0.06404	0.31009
0.10419	-0.13418	0.32415
0.03495	-0.17240	0.30475
-0.02709	-0.20702	0.28060
-0.06323	-0.20657	0.25150
-0.08874	-0.19743	0.22021
-0.10483	-0.19680	0.19356
-0.10440	-0.19345	0.17090
-0.10610	-0.19627	0.14883
-0.09964	-0.19332	0.12884
-0.09037	-0.18981	0.11309
-0.08279	-0.18744	0.09911
-0.06975	-0.17565	0.08510
-0.05644	-0.16465	0.07492
-0.05158	-0.15083	0.06147
-0.04802	-0.13785	0.04806
-0.04293	-0.12677	0.04085
-0.04175	-0.11540	0.03745
-0.04149	-0.10512	0.03353
-0.04006	-0.09457	0.02923
-0.03835	-0.08418	0.02481
-0.03647	-0.07384	0.02055
-0.03470	-0.06690	0.01815
-0.03598	-0.06366	0.01467
-0.03639	-0.06059	0.01131
-0.03500	-0.05732	0.00975
-0.03543	-0.05372	0.00754
-0.03695	-0.04980	0.00450
-0.03755	-0.04672	0.00086
-0.03564	-0.04359	-0.00175
-0.03418	-0.03982	-0.00305
-0.03529	-0.03729	-0.00471
-0.03535	-0.03735	-0.00795
-0.03269	-0.03412	-0.01010
-0.03222	-0.03280	-0.01105
-0.03474	-0.03177	-0.01456
-0.02974	-0.02790	-0.01667
-0.01790	-0.02520	-0.01485
-0.02000	-0.02472	-0.01643
-0.02332	-0.02147	-0.02068
-0.01248	-0.02074	-0.01884
0.00005	-0.02209	-0.01734
-0.00020	-0.01790	-0.02610
0.00163	-0.01527	-0.03128
0.00334	-0.01418	-0.03597
0.00675	-0.01363	-0.03921
0.01053	-0.01020	-0.04303
0.01220	-0.00680	-0.04780
0.01318	-0.00737	-0.05074
0.01629	-0.00186	-0.05436
0.01899	0.00297	-0.05799
0.02135	0.00492	-0.06244
0.02565	0.00765	-0.06725
0.02899	0.01363	-0.06898
0.03132	0.01801	-0.07145
0.03549	0.02083	-0.07822
0.03959	0.02261	-0.08595
0.04315	0.02260	-0.09155
0.04589	0.02178	-0.09723
0.04787	0.02132	-0.09979
0.04896	0.01944	-0.10543
0.05200	0.01979	-0.11288
0.05855	0.02685	-0.11580
0.06271	0.03671	-0.12025
0.06817	0.04256	-0.12617
0.07530	0.04338	-0.12935
0.08377	0.04547	-0.13740
0.09420	0.04920	-0.15370
0.10160	0.05073	-0.16057
0.11329	0.06991	-0.16336
0.12434	0.08544	-0.16947
0.13106	0.08679	-0.17821
0.13810	0.08845	-0.18555
0.14549	0.09539	-0.19382
0.15389	0.10127	-0.20323
0.16009	0.10344	-0.21371
0.16821	0.10673	-0.22231
0.18870	0.11755	-0.22825
0.21030	0.12503	-0.24682
0.21819	0.12340	-0.25810
0.22776	0.14009	-0.26566
0.24226	0.17043	-0.27701
0.25020	0.18240	-0.29060
0.25607	0.18577	-0.30408
0.26926	0.19478	-0.31566
0.27574	0.19953	-0.32825
0.28441	0.20740	-0.34183
0.30900	0.22820	-0.35360
0.31651	0.23436	-0.36682
0.32926	0.24053	-0.37894
0.34185	0.24685	-0.38708
0.34916	0.25450	-0.39762
0.35895	0.26800	-0.41145
0.36523	0.27800	-0.42005
0.37419	0.28643	-0.42825
0.38389	0.29924	-0.43973
0.39425	0.31777	-0.44798
0.40810	0.33135	-0.44970
0.42162	0.33394	-0.45655
0.42091	0.33768	-0.45784
0.41698	0.34139	-0.45401
0.41445	0.34530	-0.44974
0.40615	0.34605	-0.44495
0.39638	0.34021	-0.43933
0.38589	0.33509	-0.42993
0.37803	0.33080	-0.42056
0.37010	0.32683	-0.41003
0.35605	0.32290	-0.39605
0.34515	0.31749	-0.38163
0.33437	0.31884	-0.36543
0.32048	0.30966	-0.34605
0.29995	0.28864	-0.32785
0.26995	0.27140	-0.31230
0.24685	0.25646	-0.29086
0.22625	0.24248	-0.27124
0.20531	0.22434	-0.25317
0.18465	0.20637	-0.23370
0.16400	0.19100	-0.21500
0.14668	0.17588	-0.19700
0.12686	0.16035	-0.18086
0.10972	0.14617	-0.16500
0.09549	0.13345	-0.14812
0.08015	0.12095	-0.13020
0.06424	0.10811	-0.11451
0.05014	0.09412	-0.10159
0.03905	0.08043	-0.08976
0.03218	0.07124	-0.07873
0.02875	0.06420	-0.06780
0.02183	0.05508	-0.05908
0.01503	0.04818	-0.05156
0.00779	0.04036	-0.04440
0.00053	0.03099	-0.03800
-0.00520	0.02565	-0.03260
-0.01142	0.02236	-0.02879
-0.01544	0.02053	-0.02574
-0.01962	0.02126	-0.02242
-0.02339	0.02031	-0.01704
-0.02720	0.01715	-0.01350
-0.02929	0.01737	-0.01172
-0.03138	0.01773	-0.01173
-0.03388	0.01749	-0.01061
-0.03558	0.01602	-0.00882
-0.03530	0.01230	-0.00790
-0.03494	0.01234	-0.00538
-0.03527	0.01217	-0.00415
-0.03526	0.01200	-0.00261
-0.03528	0.01118	-0.00005
-0.03600	0.00750	0.00215
-0.03492	0.00770	0.00635
-0.03606	0.00836	0.00711
-0.03806	0.00544	0.00714
-0.03820	0.00268	0.01007
-0.03885	0.00270	0.01100
-0.03898	0.00276	0.01057
-0.03851	0.00372	0.01246
-0.03859	0.00079	0.01507
-0.03842	-0.00205	0.01666
-0.03710	-0.00145	0.01810
-0.03978	-0.00173	0.01514
-0.03947	-0.00131	0.01527
-0.03977	-0.00421	0.01607
-0.04055	-0.00685	0.01625
-0.03865	-0.00720	0.01680
-0.03675	-0.00755	0.01735
-0.03714	-0.00758	0.01837
-0.03677	-0.00775	0.01961
-0.03512	-0.00802	0.01971
-0.03550	-0.00795	0.01960
-0.03486	-0.00715	0.02040
-0.03488	-0.00644	0.02093
-0.03506	-0.00593	0.02126
-0.03499	-0.00605	0.02129
-0.03495	-0.00585	0.02185
-0.03490	-0.00560	0.02255
-0.03583	-0.00818	0.02291
-0.03636	-0.01073	0.02366
-0.03624	-0.00945	0.02405
-0.03560	-0.00865	0.02485
-0.03612	-0.00869	0.02621
-0.03625	-0.00870	0.02655
-0.03625	-0.00870	0.02655
-0.03625	-0.00870	0.02655
-0.03625	-0.00870	0.02655
-0.03625	-0.00870	0.02655
-0.03654	-0.00884	0.02592
-0.03567	-0.00842	0.02781
-0.03480	-0.00800	0.02970
-0.03480	-0.00800	0.02970
-0.03624	-0.01136	0.03042
-0.03660	-0.01220	0.03060
-0.03660	-0.01220	0.03060
-0.03674	-0.01226	0.03080
-0.03730	-0.01250	0.03160
-0.03730	-0.01250	0.03160
-0.03638	-0.01244	0.03202
-0.03914	-0.01262	0.03076
-0.04196	-0.01263	0.02961
-0.04220	-0.01195	0.03005
-0.04220	-0.01195	0.03005
-0.04183	-0.01190	0.03014
-0.04354	-0.01181	0.03059
-0.04506	-0.01185	0.03066
-0.04505	-0.01180	0.03080
-0.04493	-0.01120	0.03248
-0.04610	-0.01131	0.03264
-0.04885	-0.01144	0.03152
-0.04945	-0.01110	0.03150
-0.04945	-0.01110	0.03150
-0.04965	-0.01022	0.03250
-0.05016	-0.01011	0.03355
-0.05045	-0.01045	0.03369
-0.05052	-0.01028	0.03348
-0.05200	-0.00980	0.03360
-0.05364	-0.01056	0.03408
-0.05409	-0.01161	0.03455
-0.05384	-0.00909	0.03393
-0.05307	-0.00681	0.03503
-0.05445	-0.00670	0.03620
-0.05441	-0.00650	0.03676
-0.05458	-0.00594	0.03723
-0.05470	-0.00560	0.03745
-0.05485	-0.00551	0.03770
-0.05570	-0.00505	0.03900
-0.05694	-0.00561	0.03892
-0.05802	-0.00519	0.04049
-0.05864	-0.00469	0.04190
-0.05845	-0.00485	0.04145
-0.05845	-0.00485	0.04145
-0.05841	-0.00465	0.04201
-0.05854	-0.00449	0.04247
-0.05871	-0.00453	0.04237
-0.05826	-0.00452	0.04270
-0.05670	-0.00460	0.04370
-0.05670	-0.00460	0.04370
-0.05665	-0.00462	0.04364
-0.05680	-0.00456	0.04382
-0.05708	-0.00451	0.04434
-0.05760	-0.00455	0.04570
-0.05836	-0.00391	0.04750
-0.05932	-0.00371	0.04886
-0.05844	-0.00394	0.04987
-0.05735	-0.00413	0.05026
-0.05755	-0.00405	0.05050
-0.05631	-0.00061	0.05002
-0.05600	0.00025	0.04990
-0.05600	0.00025	0.04990
-0.05600	0.00025	0.04990
-0.05600	0.00025	0.04990
-0.05652	0.00049	0.04818
-0.05573	0.00061	0.04817
-0.05849	0.00043	0.04691
-0.06119	0.00008	0.04554
-0.06095	-0.00060	0.04510
-0.06095	-0.00060	0.04510
-0.06095	-0.00060	0.04510
-0.06095	-0.00060	0.04510
-0.06095	-0.00060	0.04510
-0.06095	-0.00060	0.04510
-0.06095	-0.00060	0.04510
-0.06095	-0.00060	0.04510
-0.06095	-0.00060	0.04510
-0.06095	-0.00060	0.04510
-0.06095	-0.00060	0.04510
-0.06095	-0.00060	0.04510
-0.06209	-0.00039	0.04477
-0.06323	-0.00018	0.04444
-0.06285	-0.00025	0.04455
-0.06285	-0.00025	0.04455
-0.06285	-0.00025	0.04455
-0.06251	0.00076	0.04485
-0.06341	-0.00167	0.04563
-0.06435	-0.00430	0.04585
-0.06435	-0.00430	0.04585
-0.06397	-0.00437	0.04596
-0.06528	-0.00688	0.04621
-0.06590	-0.00860	0.04645
-0.06590	-0.00860	0.04645
-0.06590	-0.00860	0.04645
-0.06286	-0.00916	0.04733
-0.06207	-0.01158	0.04857
-0.06166	-0.01393	0.04970
-0.05977	-0.01352	0.04991
-0.05825	-0.01380	0.05035
-0.05669	-0.01388	0.05135
-0.05571	-0.01676	0.05240
-0.05664	-0.01934	0.05276
-0.05785	-0.01820	0.05220
-0.05785	-0.01820	0.05220
-0.06061	-0.02136	0.05224
-0.06168	-0.02208	0.05214
-0.06092	-0.02222	0.05236
-0.06168	-0.02208	0.05214
-0.06320	-0.02180	0.05170
-0.06444	-0.02524	0.05218
-0.06517	-0.02628	0.05290
-0.06635	-0.02632	0.05328
-0.06774	-0.02603	0.05250
-0.06740	-0.02630	0.05205
-0.06578	-0.02293	0.05168
-0.06699	-0.02179	0.05112
-0.06813	-0.02158	0.05079
-0.06775	-0.02165	0.05090
-0.06775	-0.02165	0.05090
-0.06927	-0.02137	0.05046
-0.07019	-0.02143	0.05004
-0.06857	-0.02104	0.05097
-0.06658	-0.01996	0.05167
-0.06510	-0.01720	0.05075
-0.06510	-0.01720	0.05075
-0.06509	-0.01715	0.05089
-0.06512	-0.01730	0.05047
-0.06515	-0.01745	0.05005
-0.06515	-0.01745	0.05005
-0.06515	-0.01745	0.05005
-0.06546	-0.01831	0.05017
-0.06453	-0.01573	0.04981
-0.06360	-0.01315	0.04945
-0.06550	-0.01280	0.04890
-0.06550	-0.01280	0.04890
-0.06388	-0.01241	0.04983
-0.06226	-0.01202	0.05076
-0.06266	-0.01209	0.05025
-0.06210	-0.01185	0.04945
-0.06210	-0.01185	0.04945
-0.06195	-0.01191	0.04927
-0.06211	-0.01283	0.04921
-0.06371	-0.01711	0.04987
-0.06495	-0.02055	0.05035
-0.06439	-0.02031	0.04955
-0.06505	-0.02289	0.05014
-0.06592	-0.02629	0.04955
-0.06603	-0.02983	0.04918
-0.06610	-0.02890	0.04895
-0.06118	-0.02522	0.05015
-0.05991	-0.02487	0.05032
-0.05855	-0.02534	0.04961
-0.05705	-0.02520	0.04945
-0.05705	-0.02520	0.04945
-0.05429	-0.02204	0.04941
-0.05198	-0.02086	0.05033
-0.04998	-0.02054	0.05137
-0.04848	-0.02096	0.05141
-0.04830	-0.02065	0.05050
-0.04996	-0.02098	0.04951
-0.04936	-0.01839	0.04775
-0.04958	-0.01549	0.04588
-0.05074	-0.01600	0.04630
-0.04820	-0.01555	0.04765
-0.04820	-0.01555	0.04765
-0.04799	-0.01258	0.04636
-0.04792	-0.00967	0.04527
-0.04799	-0.01071	0.04488
-0.04855	-0.01115	0.04240
-0.04623	-0.01091	0.04284
-0.04561	-0.01210	0.04264
-0.04452	-0.00847	0.04096
-0.04302	-0.00033	0.03835
-0.04190	0.00655	0.03615
-0.04094	0.01399	0.03167
-0.04080	0.02135	0.02715
-0.03872	0.02874	0.02604
-0.03512	0.03587	0.02403
-0.03395	0.03805	0.02015
-0.03743	0.04140	0.01904
-0.03216	0.05777	0.01436
-0.02777	0.06637	0.00976
-0.02857	0.06067	0.01012
-0.02810	0.06125	0.00920
-0.02573	0.06250	0.00725
-0.02597	0.05909	0.00589
-0.02498	0.05645	0.00930
-0.01763	0.05378	0.02107
-0.01155	0.05320	0.03030
-0.02072	0.08380	0.01927
-0.01608	0.10494	0.01275
-0.00953	0.10665	0.01333
-0.00970	0.10247	0.01252
-0.00635	0.10305	0.01020
-0.00487	0.10257	0.01008
-0.00172	0.10217	0.01060
0.00073	0.10200	0.00905
0.00166	0.10133	0.00732
0.00060	0.10040	0.00585
-0.00307	0.09090	0.00735
-0.00634	0.07917	0.00873
-0.00623	0.07086	0.01594
-0.00735	0.06214	0.02644
-0.01180	0.05210	0.03585
-0.01307	0.04190	0.05300
-0.01572	0.03402	0.05833
-0.02142	0.02649	0.05652
-0.02550	0.01989	0.05828
-0.02620	0.01630	0.06135
-0.03078	0.01308	0.05991
-0.03501	0.01017	0.06190
-0.03807	0.00672	0.06500
-0.04416	0.00315	0.06387
-0.04825	0.00045	0.06420
-0.04953	-0.00196	0.06715
-0.05532	-0.00687	0.07051
-0.05864	-0.00837	0.07115
-0.05942	-0.00879	0.07033
-0.06095	-0.01180	0.07055
-0.05943	-0.01208	0.07099
-0.05893	-0.01496	0.07025
-0.05981	-0.01666	0.06874
-0.05932	-0.01710	0.06876
-0.05775	-0.02310	0.06910
-0.05602	-0.02786	0.06908
-0.05702	-0.02770	0.06809
-0.05896	-0.02896	0.06848
-0.05996	-0.03113	0.06739
-0.06165	-0.03035	0.06180
-0.06613	-0.03403	0.05704
-0.06991	-0.03586	0.05240
-0.07240	-0.03334	0.04732
-0.07705	-0.03892	0.04226
-0.08055	-0.05280	0.03885
-0.07851	-0.05109	0.03589
-0.08897	-0.04759	0.01955
-0.09498	-0.04606	-0.00068
-0.08952	-0.04344	-0.01158
-0.09145	-0.04120	-0.01925
-0.09120	-0.04096	-0.03171
-0.09054	-0.04665	-0.03415
-0.07974	-0.03182	-0.03890
-0.07069	-0.00102	-0.04070
-0.06110	0.02580	-0.02615
-0.00537	0.07746	-0.01908
0.06802	0.13712	-0.00367
0.15265	0.18448	0.01873
0.24369	0.20742	0.03364
0.32995	0.22055	0.02835
0.42849	0.26790	0.00872
0.54188	0.32611	-0.01026
0.66330	0.40071	-0.03881
0.79205	0.50427	-0.08385
0.92610	0.61605	-0.13985
1.04113	0.71233	-0.20833
1.13551	0.80052	-0.24142
1.15020	0.82596	-0.28108
1.10664	0.73296	-0.28532
1.05555	0.56515	-0.19520
0.92533	0.44540	-0.13195
0.77032	0.33564	-0.03481
0.58751	0.21358	0.10555
0.38908	0.10060	0.22753
0.23940	0.00875	0.29175
0.15702	-0.07350	0.32366
0.08310	-0.12147	0.32097
0.01520	-0.16137	0.30572
-0.03400	-0.18964	0.28588
-0.07080	-0.17840	0.24955
-0.09350	-0.17373	0.21433
-0.10050	-0.17534	0.19096
-0.09700	-0.17667	0.17491
-0.09686	-0.17850	0.15641
-0.10190	-0.18100	0.13405
-0.09386	-0.18113	0.12305
-0.07871	-0.16530	0.10938
-0.06095	-0.14231	0.09502
-0.04820	-0.12306	0.08292
-0.04340	-0.10945	0.06960
-0.03817	-0.09765	0.06075
-0.03437	-0.08419	0.05282
-0.03217	-0.07149	0.04680
-0.03027	-0.06350	0.04149
-0.02830	-0.05760	0.03415
-0.02714	-0.05104	0.02867
-0.02454	-0.04467	0.02432
-0.02040	-0.03733	0.02180
-0.01753	-0.02978	0.01754
-0.01485	-0.02350	0.01250
-0.01517	-0.01998	0.01102
-0.01582	-0.01674	0.00701
-0.01437	-0.01473	0.00501
-0.01253	-0.01378	0.00527
-0.01205	-0.01070	0.00255
-0.01223	-0.01096	0.00219
-0.01132	-0.00846	-0.00079
-0.01040	-0.00672	-0.00343
-0.00917	-0.00575	-0.00440
-0.00495	-0.00260	-0.00555
-0.00475	-0.00320	-0.00963
-0.00338	-0.00074	-0.01203
-0.00220	0.00075	-0.01402
-0.00042	0.00084	-0.01636
0.00430	0.00440	-0.01820
0.00472	0.00441	-0.02001
0.00668	0.00575	-0.02276
0.00854	0.00620	-0.02549
0.00948	0.00668	-0.02765
0.01100	0.00965	-0.03185
0.01308	0.00862	-0.03625
0.01389	0.00697	-0.03873
0.01649	0.00940	-0.03961
0.02004	0.01158	-0.04128
0.02165	0.01060	-0.04410
0.02463	0.01051	-0.04458
0.02578	0.00969	-0.04729
0.02871	0.00801	-0.05362
0.03462	0.01055	-0.05796
0.04035	0.02155	-0.06080
0.04604	0.02278	-0.06645
0.05022	0.02114	-0.07034
0.05363	0.02153	-0.07239
0.05537	0.01984	-0.07478
0.05735	0.02005	-0.07820
0.06692	0.03468	-0.07923
0.07652	0.04219	-0.08540
0.08048	0.03986	-0.09375
0.08454	0.04207	-0.09620
0.09395	0.05340	-0.09815
0.10338	0.05321	-0.11143
0.11233	0.06362	-0.11977
0.11929	0.07344	-0.12332
0.12462	0.07346	-0.12829
0.13010	0.07645	-0.13395
0.14287	0.09333	-0.13930
0.15032	0.09781	-0.15164
0.15309	0.09337	-0.16434
0.16120	0.09603	-0.17263
0.17700	0.10920	-0.18255
0.18885	0.12072	-0.19644
0.19710	0.12600	-0.21147
0.20734	0.13080	-0.21985
0.22071	0.13624	-0.22808
0.23540	0.14145	-0.24170
0.24588	0.14909	-0.24620
0.25554	0.16848	-0.25731
0.26841	0.18268	-0.26971
0.28286	0.19146	-0.27961
0.29625	0.20360	-0.29200
0.30316	0.19892	-0.30499
0.31680	0.21134	-0.32290
0.32638	0.22124	-0.33423
0.33010	0.22624	-0.34171
0.34285	0.24060	-0.35510
0.35971	0.25043	-0.36334
0.36917	0.26354	-0.37428
0.37356	0.27398	-0.38444
0.38120	0.28234	-0.39210
0.39155	0.29685	-0.40525
0.40425	0.30996	-0.41863
0.41228	0.31683	-0.42484
0.41549	0.31995	-0.42481
0.41780	0.32554	-0.42475
0.42350	0.33575	-0.42380
0.43171	0.33938	-0.41833
0.43036	0.33841	-0.41807
0.41824	0.33832	-0.42356
0.40841	0.33979	-0.42560
0.40570	0.34095	-0.42165
0.39145	0.34270	-0.42409
0.38377	0.34833	-0.41174
0.37561	0.34398	-0.38806
0.35764	0.32756	-0.36724
0.33580	0.31300	-0.35205
0.31580	0.29914	-0.33542
0.29741	0.29272	-0.31833
0.27750	0.28134	-0.29893
0.25455	0.26229	-0.27782
0.23075	0.24710	-0.25770
0.20973	0.23148	-0.24026
0.18990	0.21947	-0.22382
0.17105	0.20763	-0.20419
0.15295	0.19123	-0.18454
0.13430	0.17530	-0.16860
0.11722	0.15950	-0.15104
0.10051	0.14312	-0.13221
0.08531	0.12714	-0.11517
0.07275	0.11600	-0.10331
0.06115	0.10645	-0.09295
0.05138	0.09300	-0.07977
0.04109	0.08152	-0.06856
0.03059	0.07477	-0.05820
0.02219	0.06890	-0.04835
0.01430	0.06245	-0.04205
0.00490	0.05633	-0.03605
-0.00305	0.04981	-0.03206
-0.01093	0.04315	-0.02879
-0.01856	0.03613	-0.02408
-0.02230	0.02910	-0.01825
-0.02512	0.02731	-0.01314
-0.03123	0.02706	-0.00976
-0.03451	0.02756	-0.00679
-0.03626	0.02575	-0.00329
-0.04005	0.02225	-0.00035
-0.03844	0.02187	0.00367
-0.03752	0.02306	0.00572
-0.03962	0.02022	0.00712
-0.04121	0.01660	0.01049
-0.04150	0.01595	0.01255
-0.03909	0.01531	0.01468
-0.04144	0.01267	0.01775
-0.04472	0.01067	0.02177
-0.04403	0.01186	0.02346
-0.04275	0.01150	0.02090
-0.04381	0.00837	0.02047
-0.04239	0.00636	0.02106
-0.04215	0.00815	0.02071
-0.04049	0.00601	0.02161
-0.03565	0.00145	0.02385
-0.03717	0.00173	0.02341
-0.03767	0.00275	0.02313
-0.03807	0.00004	0.02342
-0.03923	-0.00253	0.02349
-0.03885	-0.00260	0.02360
-0.04101	-0.00312	0.02236
-0.04275	-0.00206	0.02163
-0.04409	-0.00472	0.02146
-0.04505	-0.00745	0.02140
-0.04505	-0.00745	0.02140
-0.04505	-0.00745	0.02140
-0.04462	-0.00739	0.02082
-0.04573	-0.00799	0.02244
-0.04846	-0.00869	0.02570
-0.05050	-0.00785	0.02610
-0.05050	-0.00785	0.02610
-0.05050	-0.00785	0.02610
-0.05050	-0.00785	0.02610
-0.04996	-0.00772	0.02641
-0.04780	-0.00720	0.02765
-0.04932	-0.00692	0.02721
-0.04913	-0.00694	0.02863
-0.04856	-0.00703	0.03016
-0.04875	-0.00700	0.02965
-0.04875	-0.00700	0.02965
-0.04875	-0.00700	0.02965
-0.04878	-0.00715	0.02923
-0.04919	-0.00723	0.02870
-0.05108	-0.00683	0.02829
-0.05260	-0.00655	0.02785
-0.05260	-0.00655	0.02785
-0.05374	-0.00634	0.02752
-0.05535	-0.00607	0.02645
-0.05669	-0.00577	0.02727
-0.05555	-0.00600	0.03235
-0.05248	-0.00305	0.03413
-0.05096	-0.00184	0.03801
-0.05106	-0.00125	0.04056
-0.05105	-0.00120	0.04070
-0.05105	-0.00120	0.04070
-0.05105	-0.00120	0.04070
-0.05166	-0.00092	0.04149
-0.05223	-0.00044	0.04284
-0.05169	0.00046	0.04283
-0.05045	0.00390	0.04235
-0.05045	0.00390	0.04235
-0.05249	0.00333	0.04202
-0.05453	0.00276	0.04169
-0.05384	0.00300	0.04194
-0.05380	0.00320	0.04250
-0.05380	0.00320	0.04250
-0.05397	0.00240	0.04242
-0.05346	0.00480	0.04266
-0.05306	0.00739	0.04307
-0.05350	0.00815	0.04375
-0.05562	0.00783	0.04307
-0.05604	0.00756	0.04273
-0.05635	0.00823	0.04352
-0.05679	0.00889	0.04465
-0.05735	0.00865	0.04545
-0.05731	0.00885	0.04601
-0.05770	0.01040	0.04643
-0.05769	0.00809	0.04774
-0.05704	0.00564	0.04873
-0.05540	0.00640	0.04825
-0.05428	0.00686	0.04943
-0.06418	0.00520	0.04430
-0.07031	0.00439	0.04259
-0.06711	0.00427	0.04587
-0.06890	0.00065	0.04590
-0.06928	0.00072	0.04579
-0.06773	0.00059	0.04665
-0.06656	0.00053	0.04740
-0.06695	0.00055	0.04715
-0.06695	0.00055	0.04715
-0.06715	0.00143	0.04815
-0.06855	-0.00111	0.04936
-0.06938	-0.00388	0.05023
-0.06959	-0.00301	0.05020
-0.07015	-0.00325	0.05100
-0.06859	-0.00333	0.05200
-0.06831	-0.00267	0.05273
-0.06966	-0.00543	0.05369
-0.07056	-0.00776	0.05402
-0.07100	-0.00700	0.05470
-0.07100	-0.00700	0.05470
-0.07101	-0.00705	0.05456
-0.07136	-0.00683	0.05487
-0.07019	-0.00689	0.05562
-0.07095	-0.00675	0.05540
-0.08207	-0.00837	0.05302
-0.08345	-0.00994	0.05420
-0.08111	-0.00887	0.05658
-0.08261	-0.01066	0.05682
-0.08385	-0.01410	0.05730
-0.08169	-0.01358	0.05854
-0.08115	-0.01345	0.05885
-0.08039	-0.01359	0.05907
-0.07925	-0.01380	0.05940
-0.07925	-0.01380	0.05940
-0.07925	-0.01380	0.05940
-0.07940	-0.01314	0.06015
-0.07961	-0.01231	0.06101
-0.08000	-0.01174	0.06151
-0.08080	-0.01130	0.06275
-0.08010	-0.01157	0.06434
-0.07967	-0.01236	0.06427
-0.07949	-0.01287	0.06394
-0.07901	-0.01257	0.06436
-0.07685	-0.01205	0.06560
-0.07685	-0.01205	0.06560
-0.07571	-0.01226	0.06593
-0.07457	-0.01247	0.06626
-0.07495	-0.01240	0.06615
-0.07495	-0.01240	0.06615
-0.07491	-0.01220	0.06671
-0.07490	-0.01215	0.06685
-0.07452	-0.01222	0.06696
-0.07609	-0.01192	0.06658
-0.08275	-0.01065	0.06495
-0.08783	-0.01035	0.06297
-0.08685	-0.01046	0.06328
-0.08695	-0.01113	0.06279
-0.08894	-0.01140	0.06189
-0.08890	-0.01120	0.06245
-0.08982	-0.00828	0.06073
-0.08853	-0.00783	0.06074
-0.08815	-0.00790	0.06085
-0.08815	-0.00790	0.06085
-0.08815	-0.00790	0.06085
-0.08815	-0.00790	0.06085
-0.08663	-0.00834	0.06233
-0.08507	-0.00858	0.06437
-0.08575	-0.00819	0.06456
-0.08655	-0.00775	0.06580
-0.08655	-0.00775	0.06580
-0.08693	-0.00768	0.06569
-0.08579	-0.00789	0.06602
-0.08470	-0.00808	0.06641
-0.08490	-0.00800	0.06665
-0.08510	-0.00792	0.06689
-0.08569	-0.00782	0.06688
-0.08462	-0.00784	0.06775
-0.08345	-0.00790	0.06850
-0.08345	-0.00790	0.06850
-0.08349	-0.00838	0.07102
-0.08306	-0.00874	0.07165
-0.08438	-0.00802	0.07165
-0.08228	-0.00793	0.07264
-0.07810	-0.00870	0.07385
-0.09102	-0.00632	0.07011
-0.09220	-0.00503	0.06997
-0.08885	-0.00916	0.07219
-0.09082	-0.01802	0.07358
-0.08995	-0.02460	0.07530
-0.08935	-0.02196	0.07402
-0.08703	-0.02104	0.07484
-0.08586	-0.02243	0.07611
-0.08281	-0.02287	0.07636
-0.07725	-0.02375	0.07640
-0.07835	-0.02334	0.07663
-0.07910	-0.02315	0.07655
-0.07986	-0.02301	0.07633
-0.08114	-0.02286	0.07620
-0.08170	-0.02310	0.07700
-0.08322	-0.02282	0.07656
-0.08360	-0.02275	0.07645
-0.08436	-0.02261	0.07623
-0.08599	-0.02255	0.07553
-0.08795	-0.02315	0.07405
-0.08951	-0.02307	0.07305
-0.09019	-0.02329	0.07383
-0.09176	-0.02315	0.07292
-0.09310	-0.02272	0.07104
-0.09290	-0.02280	0.07080
-0.09442	-0.02252	0.07036
-0.09521	-0.02253	0.06972
-0.09448	-0.02282	0.06952
-0.09200	-0.02315	0.07006
-0.09200	-0.02285	0.06880
-0.10150	-0.02110	0.06605
-0.10387	-0.02181	0.06542
-0.09942	-0.01919	0.06654
-0.09712	-0.01614	0.06666
