# Coluna1	Coluna2	Coluna3
-0.05624	-0.08570	0.05164
-0.05579	-0.08686	0.05302
-0.05561	-0.08425	0.05362
-0.05590	-0.08142	0.05244
-0.05570	-0.08150	0.05220
-0.05462	-0.08150	0.05312
-0.05342	-0.07892	0.05299
-0.05242	-0.07727	0.05286
-0.05280	-0.07720	0.05275
-0.05280	-0.07720	0.05275
-0.05280	-0.07720	0.05275
-0.05201	-0.07468	0.05259
-0.05066	-0.07192	0.05163
-0.05043	-0.07271	0.05144
-0.04995	-0.07315	0.05260
-0.04995	-0.07315	0.05260
-0.04891	-0.07076	0.05207
-0.04831	-0.06761	0.05222
-0.04881	-0.06784	0.05265
-0.04825	-0.06760	0.05185
-0.04701	-0.06416	0.05137
-0.04683	-0.06324	0.05082
-0.04644	-0.06342	0.05211
-0.04605	-0.06360	0.05340
-0.04605	-0.06360	0.05340
-0.04481	-0.06016	0.05292
-0.04470	-0.05954	0.05355
-0.04562	-0.05944	0.05464
-0.04540	-0.05925	0.05480
-0.04540	-0.05925	0.05480
-0.04816	-0.06241	0.05484
-0.04897	-0.06228	0.05537
-0.04997	-0.06226	0.05659
-0.05129	-0.06311	0.05690
-0.05185	-0.06335	0.05770
-0.05549	-0.06339	0.05658
-0.05640	-0.06340	0.05630
-0.05748	-0.06366	0.05568
-0.05910	-0.06405	0.05475
-0.05910	-0.06405	0.05475
-0.06274	-0.06409	0.05363
-0.06368	-0.06446	0.05524
-0.06371	-0.06482	0.05713
-0.06370	-0.06470	0.05650
-0.06370	-0.06470	0.05650
-0.06394	-0.06402	0.05694
-0.06514	-0.06364	0.05672
-0.06650	-0.06305	0.05673
-0.06664	-0.06259	0.05761
-0.06740	-0.06275	0.05865
-0.06752	-0.06215	0.06129
-0.06884	-0.06173	0.06180
-0.07028	-0.06100	0.06221
-0.07073	-0.06043	0.06308
-0.07285	-0.06075	0.06240
-0.07281	-0.06055	0.06296
-0.07287	-0.05957	0.06287
-0.07264	-0.06226	0.06384
-0.07240	-0.06490	0.06495
-0.07240	-0.06490	0.06495
-0.07244	-0.06538	0.06747
-0.07245	-0.06550	0.06810
-0.07245	-0.06550	0.06810
-0.07245	-0.06550	0.06810
-0.07245	-0.06550	0.06810
-0.07245	-0.06550	0.06810
-0.07263	-0.06499	0.06843
-0.07281	-0.06448	0.06876
-0.07306	-0.06551	0.06877
-0.07430	-0.06895	0.06925
-0.07430	-0.06895	0.06925
-0.07502	-0.06856	0.06832
-0.06966	-0.06929	0.06915
-0.06359	-0.07053	0.07154
-0.06535	-0.07035	0.07260
-0.06535	-0.07035	0.07260
-0.06535	-0.07035	0.07260
-0.06535	-0.07035	0.07260
-0.06535	-0.07035	0.07260
-0.06535	-0.07035	0.07260
-0.06531	-0.07095	0.07240
-0.06530	-0.07110	0.07235
-0.06530	-0.07110	0.07235
-0.06530	-0.07110	0.07235
-0.06530	-0.07110	0.07235
-0.06682	-0.07082	0.07191
-0.06748	-0.07063	0.07155
-0.06724	-0.07075	0.07302
-0.06680	-0.07095	0.07425
-0.06680	-0.07095	0.07425
-0.07112	-0.07199	0.07177
-0.07377	-0.07266	0.07016
-0.07608	-0.07312	0.06910
-0.07766	-0.07368	0.06867
-0.07690	-0.07460	0.06995
-0.07690	-0.07460	0.06995
-0.07804	-0.07439	0.06962
-0.07918	-0.07418	0.06929
-0.07866	-0.07419	0.06920
-0.07810	-0.07395	0.06840
-0.07810	-0.07395	0.06840
-0.07771	-0.07413	0.06969
-0.07732	-0.07431	0.07098
-0.07750	-0.07423	0.07061
-0.07770	-0.07415	0.07085
-0.07770	-0.07415	0.07085
-0.07932	-0.07558	0.06961
-0.08018	-0.07299	0.06983
-0.07812	-0.07002	0.07151
-0.07850	-0.06995	0.07140
-0.08002	-0.06967	0.07096
-0.08041	-0.06965	0.07071
-0.08038	-0.06950	0.07113
-0.08035	-0.06935	0.07155
-0.08035	-0.06935	0.07155
-0.08003	-0.06951	0.07351
-0.08013	-0.06904	0.07433
-0.08031	-0.06853	0.07466
-0.08025	-0.06870	0.07455
-0.08025	-0.06870	0.07455
-0.08241	-0.06922	0.07331
-0.08202	-0.06677	0.07264
-0.08109	-0.06419	0.07228
-0.08178	-0.06498	0.07229
